sl.no,fac id,name,email,branch,picture,username,password
,1,Ankith Sharma,ankitha@email.com,cse,books.jpg,ankitha,ankitha
,2,J.Hima Bindhu,bindhu@email.com,cse,books.jpg,bindhu,bindhu
,3,KBKS.Durga,durga@email.com,cse,books.jpg,durga,durga
,4,A.Mruthunjayam,mruthyunjayam@email.com,cse,books.jpg,mruthyunjayam,mruthyunjayam
,5,K.Sudha,sudha@email.com,cse,books.jpg,sudha,sudha
,6,S.Girija,girija@email.com,cse,books.jpg,girija,girija
,7,S.Rayanna,rayanna@email.com,cse,books.jpg,rayanna,rayanna
,8,K.Venkatesh,venkatesh@email.com,cse,books.jpg,venkatesh,venkatesh
,9,R.V.Sudhakar,sudhakar@email.com,cse,books.jpg,sudhakar,sudhakar
,10,N.Sainath,sainath@email.com,cse,books.jpg,sainath,sainath
,11,D.Harith Reddy,harith@email.com,cse,books.jpg,harith,harith
,12,K.Meghana,meghana@email.com,cse,books.jpg,meghana,meghana
,13,T.Aruna Rani,aruna@email.com,cse,books.jpg,aruna,aruna
